Datum,Ort,Art
2019-05-05 00:00:00,Platz von Netanya,Stationär
2019-05-06 00:00:00,Reinoldikirchplatz,Stationär
2019-05-06 00:00:00,Betenstraße,Stationär
2019-05-08 00:00:00,Dortmund-Hörde,Stationär
2019-05-09 00:00:00,Platz von Netanya,Stationär
2019-05-10 00:00:00,Barichstraße,Stationär
2019-05-10 00:00:00,Aufzug Innenstadt,Aufzug
2019-05-11 00:00:00,Aufzug Innenstadt,Aufzug
2019-05-11 00:00:00,Platz der Deutschen Einheit,Stationär
2019-05-11 00:00:00,Platz von Netanya,Stationär
2019-05-12 00:00:00,Platz von Netanya,Stationär
2019-05-13 00:00:00,Speckestraße,Stationär
2019-05-13 00:00:00,Europabrunnen,Stationär
2019-05-13 00:00:00,Barichstraße,Stationär
2019-05-15 00:00:00,Phönixinsel Do-Hörde,Stationär
2019-05-15 00:00:00,Rahmer Straße,Stationär
2019-05-15 00:00:00,Evinger Straße,Stationär
2019-05-16 00:00:00,Aufzug Innenstadt,Aufzug
2019-05-16 00:00:00,Friedensplatz,Stationär
2019-05-17 00:00:00,Aufzug Innenstadt,Aufzug
2019-05-17 00:00:00,Aufzug Innenstadt,Aufzug
2019-05-17 00:00:00,Reinoldikirche,Stationär
2019-05-18 00:00:00,Katharinenstraße,Stationär
2019-05-18 00:00:00,Europabrunnen,Stationär
2019-05-18 00:00:00,Reindoldikirchplatz,Stationär
2019-05-18 00:00:00,Platz der Deutschen Einheit,Stationär
2019-05-20 00:00:00,Europabrunnen,Stationär
2019-05-21 00:00:00,Am alten Markt,Stationär
2019-05-22 00:00:00,Marktplatz Lünen,Stationär
2019-05-22 00:00:00,DSW 21 Kundencenter,Stationär
2019-05-23 00:00:00,Friedensplatz,Stationär
2019-05-23 00:00:00,Reinoldikirche,Stationär
2019-05-23 00:00:00,Friedensplatz,Stationär
2019-05-24 00:00:00,Aufzug Innenstadt,Aufzug
2019-05-24 00:00:00,Aufzug Kreuzviertel - Innenstadt,Aufzug
2019-05-24 00:00:00,Lange Str. Lünen,Stationär
2019-05-24 00:00:00,Europaplatz Lünen,Stationär
2019-05-24 00:00:00,Kampstraße - Petrikirche,Stationär
2019-05-24 00:00:00,Katharinentreppe,Stationär
2019-05-25 00:00:00,Haltestelle Reinoldikirche,Stationär
2019-05-25 00:00:00,Platz von Netanya,Stationär
2019-05-25 00:00:00,Wilhelmplatz,Stationär
2019-05-25 00:00:00,Aufzug Innenstadt - Nordstadt,Aufzug
2019-05-25 00:00:00,Aufzug Innenstadt - Körne - Brackel,Aufzug
2019-05-25 00:00:00,Aufzug Innenstadt - Marten,Aufzug
2019-05-25 00:00:00,Borsigplatz,Stationär
2019-05-25 00:00:00,Weißenburger/Gronaustr.,Stationär
2019-05-25 00:00:00,Dortmund-Hörde,Aufzug
2019-05-25 00:00:00,Aufzug Kreuzviertel - Innenstadt,Aufzug
2019-05-25 00:00:00,Sonnenplatz,Stationär
2019-05-25 00:00:00,Willy-Brandt-Platz,Stationär
2019-05-25 00:00:00,Clarenberg - Do Hörde,Stationär
2019-05-25 00:00:00,Piepenstockplatz - Do Hörde,Stationär
2019-05-25 00:00:00,Platz der Deutschen Einheit,Stationär
2019-05-25 00:00:00,Hörde,Aufzug
2019-05-25 00:00:00,Hintere Schildstraße,Stationär
2019-05-25 00:00:00,St. Petrikirche,Stationär
2019-05-25 00:00:00,Scharnhorststr.,Stationär
2019-05-25 00:00:00,Katharinenstraße,Stationär
2019-05-26 00:00:00,Aufzug Innenstadt,Stationär
2019-05-26 00:00:00,Reinoldikirche,Stationär
2019-05-27 00:00:00,Europabrunnen,Stationär
2019-05-30 00:00:00,Platz von Netanya,Stationär
2019-05-30 00:00:00,Rennweg 70,Stationär
2019-05-30 00:00:00,Friedensplatz,Stationär
2019-05-30 00:00:00,Westpark,Stationär
2019-05-31 00:00:00,Aufzug Innenstadt,Aufzug
2019-05-31 00:00:00,Westpark,Stationär
2019-06-01 00:00:00,Platz von Netanya,Stationär
2019-06-01 00:00:00,Platz von Netanya,Stationär
