"Tabelle Übersicht Versammlungen 2022 (Kundgebungen und Demonstrationszüge)
Datum             KW     Beginn Uhr Ende Uh  Thema                                                                Demonstrationszug                                             Kundgebungsort                                                Min. Teilnah Max. Teilnehm Absage",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
,,,,,,,,,,,,,,,,,,,"Ludwigstr., Grottenau, Kennedy-Platz,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Volkhartstr., Gesundbrunnenstr., Badstr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Plärrergelände,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-06 00:00:00,,,5,11:30,,,12:30 Bessere Unterstützung für Frauen im Schwangerschaftskonflikt; Lebensschutz,,,,,,,,,,,,,,,,,,,,,,,Rathausplatz,,,,,,,,10,,,,,,,20,,,,,,
2022-02-06 00:00:00,,,5,12:00,,,14:30 Offene Kommunikation mit Bürgern der Stadt zu Themen die uns bewegen,,,,,,,,,,,,,,,,,,,,,,,Wittelsbacher Park,,,,,,,,10,,,,,,,20,,,,,,
2022-02-07 00:00:00,,,6,7:30,,,"9:00 Mahnwache gegen geplante Tierversuchslabore im Sigma Technopark ab 2022/2023, Motto: Augsburg muss
tierversuchsfrei bleiben",,,,,,,,,,,,,,,,,,,,,,,Werner-von-Siemens-Str.,,,,,,,,2,,,,,,,10,,,,,,
2022-02-07 00:00:00,,,6,17:00,,,"18:00 Impfpflicht in Gesundheitsbranche +
Sozialberufe",,,,,,,,,,,,,,,,,,,,,,,Rathausplatz,,,,,,,,250,,,,,,,400,,,,,,
2022-02-07 00:00:00,,,6,18:00,,,"20:00 Für freie Impfentscheidung / für die Zukunft unserer Kinder / für ein besseres, stabileres Gesundheitssystem / gegen Spaltung / für bessere, wertschätzendere Bezahlung d.",,,,,,,,,,,,"Ladehofstr., Hermanstr., Rosenaustr., Schießstättenstr., Perzheimer Str., Luitpoldbrücke, Augsburger Str., Lutzstr., Chemnitzer Str., Von-Rad-Str., Bgm.-Bohl-Str., Gröbelstr., Augsburger Str., Luitpoldbrücke, Perzheimer Str., Schießstättenstr., Rosenaustr., Hermanstr., Ladehofstr.",,,,,,,,,,,Ladehofstraße,,,,,,,,5,,,,,,,5,,,,,,
2022-02-07 00:00:00,,,6,17:30,,,18:00 gemeinsames Singen,,,,,,,,,,,,,,,,,,,,,,,Holbeinplatz,,,,,,,,35,,,,,,,100,,,,,,
2022-02-07 00:00:00,,,6,18:00,,,"19:00 Geradeaus Denken - solidarisch durch die
Krise",,,,,,,,,,,,,,,,,,,,,,,Königsplatz - kurze Bahnhofstraße,,,,,,,,100,,,,,,,100,,,,,,
