region,city,date,organizer,topic,participants_registered,participants_actual
Baden-Württemberg,Karlsruhe,2023-02-24,,Sofortige Friedenverhandlungen in der Ukraine / Die Bundesregierung muss ihre Haltung und 360 Grad drehen und dann noch einmal um 180 Grad,75.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Radfahren for Justice (Den Haag nach Genf),4.0,
Baden-Württemberg,Karlsruhe,2023-02-25,,Peta Zwei Streetteam Karlsruhe Veganstart,10.0,
Baden-Württemberg,Karlsruhe,2023-02-25,,"Schluss mit der willkürlichen Untersuchungshaft von den politischen Gefangenen Özgül Emre, İhsan Cibelik,
Serkan Küpeli und Hasan Unutan! Freiheit für alle politischen Gefangenen !",50.0,
Baden-Württemberg,Karlsruhe,2023-02-25,,Iran im Aufruhr,200.0,
Baden-Württemberg,Karlsruhe,2023-02-25,,Peta Zwei Streetteam Karlsruhe Veganstart,10.0,
Baden-Württemberg,Karlsruhe,2023-02-25,,"Schluss mit der willkürlichen Untersuchungshaft von den politischen Gefangenen Özgül Emre, İhsan Cibelik,
Serkan Küpeli und Hasan Unutan! Freiheit für alle politischen Gefangenen !",50.0,
Baden-Württemberg,Karlsruhe,2023-02-25,,Iran im Aufruhr,200.0,
Baden-Württemberg,Karlsruhe,2023-03-01,,1. März - Gedenken an die Deportation von Julius Hirsch,20.0,
Baden-Württemberg,Karlsruhe,2023-03-01,,Catcalls of Karlsruhe kreiden an,2.0,
Baden-Württemberg,Karlsruhe,2023-03-01,,1. März - Gedenken an die Deportation von Julius Hirsch,20.0,
Baden-Württemberg,Karlsruhe,2023-03-02,,Frieden,,
Baden-Württemberg,Karlsruhe,2023-03-02,,Wir sind Baum ,50.0,
Baden-Württemberg,Karlsruhe,2023-03-02,,"Für das Grundgesetz - für die Würde des Menschen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Die RichterInnen des BVG sollten endlich Ihre Aufgabe erfüllen + darüber urteilen, ob manche Grundrechtseinschränkungen Grundgesetzwidrig waren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49.0,
Baden-Württemberg,Karlsruhe,2023-03-02,,Frieden,,
Baden-Württemberg,Karlsruhe,2023-03-03,,Globaler Klimastreik von Fridays for Future zum Thema Verkehrswende in Kooperation mit Verdi,3500.0,
