Anzahl Vers.,Datum ,SB,Thema,Versammlungen Ort,Uhrzeit,erwartete Teilnehmerzahl,Vermerk,interner Vermerk,Anzahl Aufzüge,Datum,SB.1,Thema.1,Anzahl Teilnehmer,Vermerk.1
51.0,2022-03-08 00:00:00,fo,Catcalling,vor ECE,13:00 Uhr - 16:30 Uhr,10,,erl.,29,erl. 08.03.2022,fo,Hinaus zum internationalen Frauenkampftag!,100,
52.0,2022-03-08 00:00:00,sa,Information zum Thema Gender-Data-Gap & Gleichberec htigung von Frauen,St Johanner Markt,12:00 Uhr - 14:00 Uhr,10 bis 15,,erl.,,,,,,
53.0,2022-03-08 00:00:00,fo,Internationaler Frauentag 2022,Tbilisser Platz,12:00 Uhr - 14:00 Uhr,200,,erl.,,,,,,
54.0,2022-03-09 00:00:00,fo,Kriegsgeschehen in der Ukraine,Tbilisser Platz,19:00 Uhr - 21:00 Uhr,300-500,,erl.,,,,,,
,2022-03-10 00:00:00,sa,"Freiheit für Öcalan, Frieden für Kurdistan",vor ECE,16:00 Uhr - 18:00 Uhr,6,INFOSTAND,KEINE VERSAMMLUNG!,30,erl. 10.03.2022,fo,Gegen Schließung d. Ausländerbehörde in SB,100+,
55.0,2022-03-10 00:00:00,fo,Wahlkampfveranstaltung,vor Karstadt,18:00 Uhr - 20:00 Uhr,50,,erl.,,,,,,
56.0,2022-03-11 00:00:00,fo,Jahrestag Atomkatastrophe von Fukushima,GRP,16:00 Uhr - 18:00 Uhr,40,,erl.,,,,,,
57.0,2022-03-11 00:00:00,fo,Kundgebung,vor Wirtschaftsministerium,14:30 Uhr - 15:00 Uhr,20,,erl.,,,,,,
58.0,2022-03-11 00:00:00,fo,Armut - Lantagswahl 2022,Burbacher Markt,14:30 Uhr - 15:45 Uhr,15,,erl.,,,,,,
59.0,2022-03-12 00:00:00,fo,"Mahnwache - Tierrechte, Veganismus",ECE 3,14:00 Uhr - 18:00 Uhr,20,,erl.,,,,,,
60.0,2022-03-12 00:00:00,fo,Wahlkampfveranstaltung,Tbilisser Platz,14:00 Uhr - 16:30 Uhr,999,,erl.,,,,,,
61.0,2022-03-12 00:00:00,fo,Organraub an lebenden Falun Gong-Praktizierenden,vor Thalia,12:00 Uhr - 16:00 Uhr,8,,erl.,,,,,,
62.0,2022-03-12 00:00:00,fo,Botschaft der Bibel,vor ECE an der Mauer,11:00Uhr - 17:00 Uhr,10,,erl.,,,,,,
63.0,2022-03-12 00:00:00,fo,Sühne- und Bittgebet für die Ungeborenen,Ecke Heinestraße/Am Staden,11:00 Uhr - 11:30 uhr,15-20,,erl.,,,,,,
64.0,2022-03-12 00:00:00,fo,,Gustav-Regler-Platz,11:00 Uhr - 15:00 Uhr,,abgesagt,abgesagt,,,,,,
65.0,2022-03-13 00:00:00,fo,"Spazis raus, mit Nazis spaziert man nicht",GRP,14:30 Uhr - 16:30 Uhr,60,,erl.,31,erl. 13.03.2022,fo,Wir sagen Nein zur Impfpflicht-Gegen die Spaltung unserer Gesellschaft,3000,
66.0,2022-03-13 00:00:00,fo,Kriegsgeschehen in der Ukraine,Tbilisser Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,,,,,,
67.0,2022-03-14 00:00:00,fo,Montagsdemo,vor Thalia,18:00 Uhr - 19:00 Uhr,20,abgesagt,erl.,,,,,,
68.0,2022-03-18 00:00:00,fo,Justice for Kurds zu Streichung der PKK von der Terrorliste ,vor ECE,14:00 Uhr - 18:00 Uhr,20,,erl.,32,erl. 18.03.2022,fo,Armut bekämpfen,25,
69.0,2022-03-18 00:00:00,fo,"Eilversammlung , Thema unbekannt",SJM,16:00 Uhr -18:30 Uhr,,ohne Anmeldung/ohne Auflagenverfügung,,,,,,,
70.0,2022-03-19 00:00:00,fo,Wahlkampf,vor ECE an Mauer,10:30 Uhr - 13:30 Uhr,10,,erl.,,,,,,
71.0,2022-03-19 00:00:00,fo,Wahlkampf,Tbilisser Platz,14:00 Uhr - 18:00 Uhr,500,,erl.,,,,,,
72.0,2022-03-19 00:00:00,fo,Maßnahmen gegen die Maßnahmen,vor ECE an Mauer,15:00Uhr - 17:00 Uhr,6,abgesagt,abgesagt,,,,,,
73.0,2022-03-19 00:00:00,fo,Information der Seebrücke Saar zum Thema Solidarität mit Geflüchteten im Saarland und Menschen weltweit,Gustav-Regler-Platz,12:00 Uhr - 15:00 Uhr,10,,erl.,,,,,,
74.0,2022-03-19 00:00:00,fo,Smartmob - Tanz für den Frieden,vor Thalia,10:00 Uhr - 11:00 Uhr,20,,erl.,,,,,,
75.0,2022-03-20 00:00:00,fo,Pferde sind keine Entertainer,Saarlandhalle,12:00 Uhr - 14:00 Uhr,15,,erl.,33,erl. 20.03.2022,fo,Aktuelle Spritpreise,,
76.0,2022-03-20 00:00:00,fo,"Aktionstag ""Haltung zeigen"" - Internationale Wochen gegen Rassismus",Landwehrplatz,12:00 Uhr - 17:00 Uhr,200,,erl.,34,erl. 20.03.2022,fo,kunterbunt und gesund-gemeinsam für ein besseres Morgen!,300,
77.0,2022-03-20 00:00:00,fo,Aktioin der Seebrücke Saar um Landesregierung auf offenen Breif aufmerksam zu machen,am Landtag,13:00 Uhr - 16:00 Uhr,10 bis 20,,erl.,,,,,,
78.0,2022-03-20 00:00:00,fo,Kriegsgeschen in der Ukraine,Tbilisser Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,,,,,,
79.0,2022-03-20 00:00:00,fo,Wir haben gewonnen,Gustav-Regler-Platz,14:00 Uhr - 15:00 Uhr,10,,erl.,,,,,,
80.0,2022-03-21 00:00:00,fo,Montagsdemo Saarbrücken,vor Thalia,18:00 Uhr - 19:00 Uhr,20,,erl.,,,,,,
,21./22.03.2022,,NEWROZ - Anmeldung?,,,,,,,,,,,
81.0,2022-03-22 00:00:00,fo,Wahlrecht auch für Haustiere,vor Karstadt,,,Anmeldung zurückgewiesen wg. Missachtung Anmeldefrist,,,,,,,
82.0,2022-03-24 00:00:00,fo,Wahlrecht auch für Haustiere,vor Karstadt,16:00 Uhr - 20:00 Uhr,5,,erl.,,,,,,
83.0,2022-03-25 00:00:00,fo,Landtagswahlen Saarland,Tbilisser Platz,14:00 Uhr - 16:00 Uhr,200,,abgesagt,35,erl. 25.03.2022,fo,10. Globaler Klimastreik von FFF,5000,
84.0,2022-03-25 00:00:00,fo,Wahlkampfveranstaltung,Saarrondo,17:00 Uhr - 23:00 Uhr,200,,erl.,36,erl. 25.03.2022,fo,Azubi-Gehalt für HeilerzeihungspflegerInnen Verbesserte Ausbildungsbedingungen,150,Landtag/Bannmeile
85.0,2022-03-25 00:00:00,fo,Wahlkampfveranstaltung,vor Thalia,12:30 Uhr - 13:30 Uhr,50,,erl.,,,,,,
86.0,2022-03-26 00:00:00,fo,"Mahnwache - Tierrechte, Veganismus",vor ECE,14:00 Uhr - 18:00 Uhr,20,,erl.,,,,,,
87.0,2022-03-26 00:00:00,fo,Wahlkampfveranstaltung,Tbilisser Platz,20:00 Uhr -21:00 Uhr,30,,erl.,,,,,,
,2022-03-27 00:00:00,,Landtagswahlen Saarland,,,,,,,2022-03-27 00:00:00,,,,
88.0,2022-03-27 00:00:00,fo,Kriegsgeschehen in der Ukraine,Tbilisser Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,,,,,,
89.0,2022-03-29 00:00:00,fo,Tarifrunde öffentliche Banken (saarländische Sparkassen),Tbilisser Platz,10:00 Uhr - 12:30 Uhr,800,,erl.,37,erl. 29.03.2022,fo,Frieden in d. Ukraine,50,
90.0,2022-04-03 00:00:00,fo,Kriegsgeschehen in der Ukraine,Tbilisser Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,,,,,,
91.0,2022-04-04 00:00:00,fo,Montagsdemo-Gegen Hartz IV Gesetze,vor Thalia,18:00 Uhr - 19:00 Uhr,20,,erl.,,,,,,
,,,,,,,,,,,,,,
92.0,2022-04-09 00:00:00,sa,Sühne- und Bittgebet,Am Staden/Heinestraße,11:00 Uhr - 11:30 Uhr,15,,erl.,,,,,,
93.0,2022-04-09 00:00:00,sa,Botschaft der Bibel,vor Thalia,12:00 Uhr - 17:00 Uhr,10,,erl.,,,,,,
94.0,2022-04-09 00:00:00,fo,Mahnwache Tierrechte Veganismus,Vor Karstadt,14:00 Uhr - 18:00 Uhr,20,,erl.,38,erl. 09.04.2022,fo,Stoppt Erdogans Angriffskriege in Kurdistan- Gegen die Interessen von Diktatoren für die Selbstbestimmung der Völker,100,
95.0,2022-04-10 00:00:00,fo,Mahnwachge gegen absurde Demonstrationen verwirrter Spaziergänger:innen mit zuviel Tagesfreizeit,GRP,14:30 Uhr 16:30 Uhr,50,,erl.,39,erl. 10.04.2022,fo,Nein zur Impfplficht,1500,
96.0,2022-04-10 00:00:00,fo,Kriegsgeschehen in der Ukraine,Tbilisser Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,,,,,,
97.0,2022-04-14 00:00:00,fo,Warnstreik - IG Bauen-Agrar- Umwelt,Röhnweg 6 66113 SB,10:00 Uhr - 12:00 Uhr,30 - 40,,erl.,,,,,,
,2022-04-15 00:00:00,,,Versammlungsverbot ab 4:00 Uhr nach § 8 Sonn- und Feiertagsgestetz ,,,,,,2022-04-15 00:00:00,,,,
,,,,,,,,,40,erl. 16.04.2022,fo,Ostermarsch,250,
, ,,,,,,,,41,erl. 16.04.2022,fo,Wohltätigkeitsortanisation von Cephas,100,abgesagt
,,,,,,,,,,,,,,
98.0,2022-04-17 00:00:00,sa,Mahnwache gegen absurde Demonstrationen verwirrter Spaziergänger:innen mit zuviel Tagesfreizeit,Sparkasse/Ecke Nassauerstraße,14:30 uhr - 16:30 Uhr,30,abgesagt,,,,,,,
99.0,2022-04-17 00:00:00,fo,Kriegsgeschehen in der Ukraine,Tbilisser Platz,13:00 Uhr - 15:00 Uhr,300-500,,erl.,,,,,,
100.0,2022-04-18 00:00:00,,Spontanversammlung Bombenangriff des türk. Staates auf kurdische Gebiet in Nordkurdistan und Irak,vor ECE  ,15:00 Uhr - 15:45 Uhr,60,Spontanversammlung,,,,,,,
101.0,2022-04-23 00:00:00,fo,Mahnwache Tierreichte Veganismus,vor ECE 3,14:00 Uhr - 18:00 Uhr,20,,erl.,42,erl.23.04.2022,fo,Schluss mit den völkerrechtswidrigem Angriffskrieg des türkischen Staates auf Südkurdistan- Stoppt Erdogan,120,
102.0,2022-04-23 00:00:00,fo,Falung Gong,vor Thalia,12:00 Uhr - 16:00 Uhr,8,,erl.,,,,,,
