Anzahl Vers.,Datum ,Versammlungen Ort,Vermerk,Unnamed: 4,Anzahl Aufzüge,Datum,Vermerk.1,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,34.0,2019-04-24 00:00:00,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
47.0,2019-04-27 00:00:00,Bahnhofstraße , ,,,,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,Flohmarkt Franz-Josef-Röder Straße,,
48.0,2019-04-27 00:00:00,Bahnhofstraße ,,,,,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,09.03.,13.04.,11.05.
49.0,2019-04-27 00:00:00,St. Johanner Markt,lt. PI ausgefallen,,,,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,08.06.,13.07.,10.08.
50.0,2019-04-27 00:00:00,Bahnhofstraße ,lt. PI ausgefallen,,,,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,14.09.,12.10.,09.11.
,,,,,35.0,2019-04-30 00:00:00,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
,,,,,36.0,2018-05-01 00:00:00,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
51.0,2019-05-03 00:00:00,Tbilisser Platz,,,,,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
52.0,2019-05-03 00:00:00,Alte Brücke,,,,,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
53.0,2019-05-03 00:00:00,Burbacher Markt,,,,,,,,
,2019-05-04 00:00:00,St. Johanner Markt ist dann komplett belegt,,,37.0,2019-05-04 00:00:00,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
54.0,2019-05-04 00:00:00,St. Johanner Markt,,,,,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
55.0,2019-05-04 00:00:00,Saargemünder Str. 117 St. Arnual,ist nur Infostand,,,,,,,
,,,,,38.0,2019-05-06 00:00:00,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
56.0,2019-05-08 00:00:00,vor Rathaus St. Johann,,,,,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
57.0,2019-05-09 00:00:00,St. Johanner Markt,abgesagt,,39.0,2019-05-09 00:00:00,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
58.0,2019-05-10 00:00:00,vor ECE,,,,,,,,
59.0,2019-05-11 00:00:00,Tbilisser Platz,,,40.0,2019-05-11 00:00:00,Flohmarkt Franz-Josef-Röder-Straße 8-16 Uhr,,,Prozession KJB
60.0,2019-05-11 00:00:00,Heinestraße 2-4,,,,,,,,
61.0,2019-05-13 00:00:00,vor Staatskanzlei,,,,,,,,
62.0,2019-05-16 00:00:00,ECE 1,,,41.0,2019-05-16 00:00:00,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
63.0,2019-05-16 00:00:00,ECE1,,,,,,,,
64.0,2019-05-16 00:00:00,St. Johanner Markt,,,,,,,,
65.0,2019-05-18 00:00:00,Bahnhofstraße 72/74 - 77/79,,,42.0,2019-05-18 00:00:00,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
67.0,2019-05-18 00:00:00,Burbacher Markt,,,,,,,,
68.0,2019-05-18 00:00:00,vor Europagalerie,,,,,,,,
,,,19.05.2019 Feuerwehrfest Brauerstraße,,,,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
69.0,2019-05-20 00:00:00,St. Johanner Markt,,,,,,,,
,,,,,43.0,2019-05-23 00:00:00,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
,,,,,44.0,2019-05-24 00:00:00,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
,,,,,45.0,2019-05-24 00:00:00,,,,
70.0,2019-05-25 00:00:00,St. Johanner Markt,,,,,25.05.2019 Frauenlauf-Saar und Daarler Wiesen NICHT auf dem SJM,,,
71.0,2019-05-25 00:00:00,Burbacher Markt,,,,,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
,,26.05.2019 Wahlsonntag und Sofis City Cross Lauf von 6:30-13:30,,,,,,,,
,,,,,46.0,2019-05-31 00:00:00,,,,
