Anzahl Vers.,Datum ,Thema der Versammlung,Uhrzeit,erwartete Teilnehmerzahl,Anzahl Aufzüge,Datum,Thema des Aufzuges
81.0,2023-04-22 00:00:00,Organraub an lebenenden Falun Gong-Praktizierenden in China,12:00 Uhr - 16:30 Uhr,10,,,
82.0,2023-04-22 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 18:00 Uhr,20,,,
83.0,2023-04-22 00:00:00,42 Tage bis zum Tod ,16:30 Uhr - 19:30 Uhr,5 bis 20,,,
84.0,2023-04-24 00:00:00,Energie- und Ölkonzerne enteignen!Krisengewinne umverteilen! Genug ist genug,16:30 Uhr bis 18:00 Uhr,zehn,25.0,2023-04-23 00:00:00,Mobilitätswende
,,,,,26.0,2023-04-23 00:00:00,Friedensdemo
85.0,2023-04-26 00:00:00,Lärmbelästigung,10:00 Uhr - 13:00 Uhr,4 bis 5,,,
86.0,2023-04-27 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,16:30 Uhr - 18.30 Uhr,4 bis 8,,,
87.0,2023-04-29 00:00:00,Milch ist nur für Baby-Kühe,14:30 Uhr - 17:30 Uhr ,10,,,
88.0,2023-04-29 00:00:00,Unterstützung der iranischen Revolution,14:00 Uhr - 16:00 Uhr,800,,,
,,,,,27.0,2023-05-01 00:00:00,Tag der Arbeit – 1. Mai – Protest und Fest – Ungebrochen Solidarisch
89.0,2023-05-03 00:00:00,Für Pressefreiheit und eine unahängige Berichterstattung,12:00 Uhr - 13:00 Uhr,zehn-50,28.0,2023-05-05 00:00:00,Europäischer Protesttag zur Gleichstellung der Menschen mit Behinderung
90.0,2023-05-05 00:00:00,Bundesweiter Tag der Behindertenrechtskonvention,14:00 Uhr - 18:00 Uhr,100,,,
91.0,2023-05-06 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,29.0,2023-05-06 00:00:00,Kidical Mass
92.0,2023-05-06 00:00:00,Unterstützung der iranischen Revolution,14:00 Uhr - 16:00 Uhr,800,,,
93.0,2023-05-06 00:00:00,"Christi Himmelfahrt, Mythos oder Realität? Was bedeutet dasmim Lichte der Biebel?",10:00 Uhr - 15.00 Uhr,5 bis 10 ,30.0,2023-05-09 00:00:00,"Andenken an die Opfer des zweiten Weltkrieges ""Nein!"" zum Nazismus"
94.0,2023-05-11 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,16:30 Uhr - 18.30 Uhr,4 bis 8,,,
95.0,2023-05-11 00:00:00,Gedenken an die Antifaschistin Käthe Limbach zum Anlass der Stolpersteinverlegung durch LHS,15:00 Uhr - 15:45 Uhr,20,,,
96.0,2023-05-13 00:00:00,Hunde BBQ,14:30 Uhr - 17:00 Uhr,12,,,
97.0,2023-05-13 00:00:00,Organraub an lebenenden Falun Gong-Praktizierenden in China,12:00 Uhr - 17:00 Uhr,15,,,
98.0,15/16.05.2023,Verbot von Schliefanlagen un die Jagd auf Fuchs-Dachs-Marder,10:00 Uhr bis 10:00 Uhr,2 bis 50 ,,,
99.0,2023-05-17 00:00:00,Tarif-Frühstück,10:00 Uhr - 12:00 Uhr,40-45,,,
100.0,2023-05-20 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,,,
101.0,2023-05-20 00:00:00,Sühne- und Bittgebet für die Ungeborenen,11:00 Uhr - 11:30 Uhr,14-24,,,
102.0,2023-05-20 00:00:00,"Christi Himmelfahrt, Mythos oder Realität? Was bedeutet dasmim Lichte der Biebel?",10:00 Uhr - 15.00 Uhr,5 bis 10 ,,,
103.0,2023-05-25 00:00:00,Warnstreik-Demo,10:00 Uhr - 12:00 Uhr,40-45,,,
104.0,2023-05-25 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,16:30 Uhr - 18.30 Uhr,4 bis 8,,,
105.0,30./31.05.2023,Verbot der Schliefanlagen im Saarland,10:00 Uhr - 10:00 Uhr,20,,,
106.0,2023-05-31 00:00:00,Standkundgebung zum Gedenken der Kriegsopfer von Bosnien (Prijedor),18:00 Uhr - 19:00 Uhr,30,,,
,,,,,31.0,2023-06-01 00:00:00,"Aufzug IG-Metall, Warnstreik Demo"
107.0,2023-06-03 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,32.0,2023-06-01 00:00:00,Aufzug Letzte Generation
108.0,2023-06-03 00:00:00,Die Bibel noch aktuell? Gibt es verlässliche Prophetie? Evangeliumsverkündnung,10:00 Uhr bis 15:00 Uhr,fünf bis zehn,,,
