Datum,Von,Bis,Thema,Strasse,Nr,PLZ,Aufzugsstrecke,Teilnehmende (angemeldet),Teilnehmende (tatsächlich)
03.01.2022,17:00,19:00,"""Wir sind Anwohner*innen des Gethsemanekiezes im Prenzlauer Berg und möchten in diesen Zeiten ein Zeichen setzen. Angesichts des sich verschärfenden Protests von Kritiker*innen der Pandemiemaßnahmen und Corona- Protestlern vor der Gethsemanekirche am 13.12.2021 möchten wir uns gemeinsam mit der Kirchengemeinde ausdrücklich gegen die Vereinnahmung dieses historisches Ortes und der Symbole der friedlichen Revolution in der DDR wehren.""",Stargarder Str.,,10437.0,,100.0,
03.01.2022,17:00,20:15,"""Einigkeit und Recht und Freiheit""",,,,Moritzstr. 1 (AK) - Carl-Schurz-Str. - Am Juliusturm - Havelstr. - Breite Str. - Marktplatz - Carl-Schurz-Str. - Charlottenstr. - Breite Str. - Marktplatz - Carl-Schurzstr. - bis Höhe Rathaus Spandau - Jüdenstr. - Viktoria-Ufer - Moritzstr. (EK) (Runde soll 1-2 mal wiederholt werden),100.0,105.0
03.01.2022,17:30,19:45,"Frieden, Freiheit, keine Diktatur",Karl-Marx-Str.,83,12043.0,"Karl-Marx-Str. 83, Vorplatz Rathaus Neukölln – Karl-Marx-Str. – Karl-Marx-Platz – Richardplatz – Hertzbergstr. – Sonnenallee – Hermannplatz – Karl-Marx-Str. – Karl-Marx-Str. 83, Vorplatz Rathaus Neukölln",35.0,
03.01.2022,17:30,20:00,"""Frieden, Freiheit, Demokratie!""",Karl-Marx-Str.,83,12043.0,,15.0,
03.01.2022,17:39,19:00,"""Das ist kein Montags-Spaziergang - das ist Kriechen! Die einzige angemeldete Nazi-Sponti des Landes darf nicht unkommentiert bleiben :D""",Alexanderplatz,,10178.0,,20.0,
03.01.2022,17:45,00:00,Rathaus Pankow (nicht angezeigte coronakritische Versammlung),Breite Str.,24,13187.0,Breite Str. - Berliner Str. - Mühlenstr. - Breite Str.,300.0,
03.01.2022,17:45,20:00,"""Protest gegen Hartz 4 und das Bürgergeld - Montag ist der Tag des Widerstands"" (vom 03.01. bis 19.12.2022 - jeweils Mo.)",Alexanderplatz,,10178.0,,30.0,
03.01.2022,18:00,19:00,"""Mahnwache am Kanzleramt - Für die sofortige Stilllegung aller Atomanlagen""",Heinrich-von-Gagern-Str.,,10557.0,neu,20.0,2.0
03.01.2022,18:00,19:30,Rathaus Tempelhof (nicht angezeigte coronakritische Versammlungen),Tempelhofer Damm,165,12099.0,,50.0,
03.01.2022,18:00,19:30,Rathaus Lankwitz (nicht angezeigte coronakritische Versammlungen),Hanna-Renate-Laurien-Platz,1,12247.0,,60.0,
03.01.2022,18:00,19:30,Rathaus Zehlendorf (nicht angezeigte coronakritische Versammlungen),Kirchstr.,1,14163.0,,80.0,
03.01.2022,18:00,20:00,"""Demokratische Menschenrechte"" (vom 03.01. bis 04.04.2022 - jeweils Mo.)",,,,"Alt-Tegel 2A, vor dem Ladengeschäft C&A (AK) - Berliner Str. - Borsigpark - Berliner Str. (EK)",400.0,450.0
03.01.2022,18:00,20:10,Rathaus Schöneberg (nicht angezeigte coronakritische Versammlungen),Am Rathaus,2,10825.0,Rathaus Schöneberg bis Winterfeldtplatz,300.0,
03.01.2022,18:00,21:00,"""Wehe denen, die nicht geforscht haben und doch reden.""",Breite Str.,24,13187.0,,200.0,50.0
03.01.2022,18:11,18:45,"""Montagsspaziergang"" Kladow (nicht angezeigte, coronakritische Versammlung)",Kladower Damm,1,14089.0,Kladower Damm/Ritterfelddamm in Richtung Sakrower Landstr. - Parnemannweg,14.0,
03.01.2022,18:30,21:30,"""Lauf Demo""",,,,Alexanderplatz - Dircksenstr. - Grunerstr. - Spandauer Str. - Karl-Liebknecht-Str. - Unter den Linden (ZDF-Hauptstadtstudio Berlin) - Glinkastr. (Wendepunkt) - Unter den Linden - Karl-Liebknecht-Str. - Spandauer Str. - Grunerstr. - Dircksenstr. - Alexanderplatz,800.0,
03.01.2022,18:32,20:00,"""Friedlicher Protest gegen 2G und die Einführung einer Impfpflicht"" (vom 13.12.2021 bis 17.01.2022 - jeweils Mo.)",Pariser Platz,,10117.0,,120.0,65.0
03.01.2022,19:00,20:00,"""Das ist kein Montagsspaziergang - das ist Kriechen! Die einzige angemeldete Nazi-Sponti des Landes darf nicht unkommentiert bleiben :D""",Unter den Linden,,10117.0,,20.0,
03.01.2022,19:00,20:00,"""Mahnwache: Konsequentes Nachtflugverbot von 22 Uhr bis 6 Uhr am Flughafen BER. Kurzstreckenflüge gehören auf die Schiene. Alle Messdaten der Ultrafeinstaubmessung am Flughafen BER müssen öffentlich werden. Die Subventionierung des Flughafens und der Billigairlines muss beendet werden, denn wer fliegt oder Flüge anbietet, muss die tätsächlichen Kosten zahlen."" (vom 01.11.2021 bis 31.01.2022 - jeweils Mo.)",Bölschestr.,113,12587.0,,40.0,15.0
03.01.2022,20:00,23:00,"""Das ist kein Montags-Spaziergang - das ist Kriechen! Die einzige angemeldete Nazi-Sponti des Landes darf nicht unkommentiert bleiben :D""",Alexanderplatz,,10178.0,,20.0,
04.01.2022,08:00,20:00,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",Werderscher Markt,,10117.0,,30.0,
04.01.2022,09:00,12:00,"""Diplomatischer Boykott der Winterspiele 2022!""",,,,Neu: Pariser Platz – Unter den Linden – Friedrichstr. – Französische Str. – Werderscher Markt Alt: Brandenburger Tor (AK) - Unter den Linden - Wilhelmstr. - Französische Str. - Werderscher Markt 1 (Auswärtiges Amt - EK),500.0,200.0
04.01.2022,10:30,13:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,2.0
04.01.2022,13:30,15:00,"""Kundgebung für die Liebknecht-Luxemburg-Aktivitäten am 9. Januar 2022 und zum Tarifabschluss der Charité""",Hindenburgdamm,30,12203.0,,10.0,4.0
04.01.2022,16:00,18:00,"""Bürgerinnen und Bürger äußern ihre Meinung zu Bürgerrechten und zur aktuellen Gesundheitspolitik, Beispielsweise zu „2G-“, „3G-“Beschränkungen und zur Covid19-Impfung.""",Alt-Köpenick,21,12555.0,,35.0,34.0
04.01.2022,16:15,18:30,"""Gegenprotest zu ""Menschen mit Schildern"" Wissenschaft statt Schwurbel!""",Muthesiusstr.,,12163.0,,15.0,15.0
04.01.2022,17:00,18:30,"""Menschen mit Schildern"" (vom 04.01. bis 27.12.2022 - jeweils Di.)",Hermann-Ehlers-Platz,,12165.0,"zusätzlich Muthesiusstr., in Nähe zum Dönerstand",30.0,40.0
04.01.2022,18:40,19:15,"""Wir pfeifen auf Stuttgart 21"" (vom 04.01. bis 29.03.2022 - jeweils Di.)",Potsdamer Platz,1,10785.0,,5.0,5.0
05.01.2022,08:00,20:00,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",Werderscher Markt,,10117.0,,30.0,
05.01.2022,10:30,13:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,2.0
05.01.2022,11:00,14:00,"""Mahnende Kundgebung zum Gedenken an die drei ermordeten kurdischen Politikerinnen Sakine Cansiz, Fidan Dogan und Leyla Saylemez""",Pariser Platz,,10117.0,,50.0,32.0
05.01.2022,15:00,16:00,"""Antikriegsmahnwache - Kein Krieg und keine Kriegshetze gegen Russland! NATO-Hände weg von der Ukraine und an-deren Ländern, die in ihrem Fadenkreuz stehen!"" (vom 17.11.2021 bis 23.02.2022 - jeweils Mi.)",Pariser Platz,,10117.0,,15.0,4.0
05.01.2022,16:40,18:00,"""42. Jahrestag der Ermordung Celalettin Kesims""",Kottbusser Str.,,10999.0,,50.0,35.0
05.01.2022,17:00,20:30,"""Video-Aktion zur Aufklärung über die Tierindustrie""",Alexanderplatz,,10178.0,,20.0,15.0
06.01.2022,08:00,20:00,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",Werderscher Markt,,10117.0,,30.0,
06.01.2022,08:30,09:30,"""Mahnwache zur Aufklärung rechter Straftaten in Neukölln"" (vom 06.01. bis 29.12.2022 - jeweils Do.)",Tempelhofer Damm,12,12101.0,,6.0,
06.01.2022,10:30,13:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,2.0
06.01.2022,14:00,15:00,"""Protest gegen Christenverfolgung und die vielfachen Menschenrechtsverletzungen in Nordkorea und gegen das Atom- und Raketenprogramm"" (vom 07.10.2021 bis 06.01.2022 - jeweils Do.)",Glinkastr.,5,10117.0,,15.0,5.0
06.01.2022,16:00,18:30,"""Friedliche und freundliche Unterstützung des Nachbarschaftsdialogs. Entgegenwirken von Spaltung und Diskriminierung jeder Art, durch Förderung von friedlicher Kommunikation miteinander, Gleichberechtigung und fundiertem Verständnis für alle Mitmenschen."" (vom 06.01. bis 29.12.2022 - jeweils Do.)",Wilmersdorfer Str.,,10585.0,Goethestr./Wilmersdorfer Str.,19.0,4.0
06.01.2022,16:30,18:00,"""Menschen mit Schildern"" (vom 06.01. bis 30.12.2022 - jeweils Do.)",Paradestr.,,12101.0,Stationär am S- Bhf. Tempelhof,15.0,
06.01.2022,18:00,20:00,"""Freiheit für Julian Assange! Pressefreiheit, Meinungsfreiheit, Grundlage von Demokratie und Frieden.""",,,,Pariser Platz (vor US-Botschaft) - Unter den Linden - Wilhelmstr. - Wilhelmstr. in der Nähe zur britischen Botschaft (ZK) - Pariser Platz (vor US-Botschaft),50.0,32.0
07.01.2022,08:00,20:00,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",Werderscher Markt,,10117.0,,30.0,
07.01.2022,10:00,12:00,"""Fridays for Future; Klimamahnwache für das Pariser Abkommen am Bundestag."" (vom 05.11.2021 bis 28.01.2022 - jeweils Fr.)",Platz der Republik,1,10557.0,,12.0,6.0
07.01.2022,10:30,13:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,4.0
07.01.2022,14:00,17:00,"""Familiennachholung aus Afghanistan""",Platz des 18. März,,10117.0,Neu: Platz des 18. März (AP) - Ebertstr. - Scheidemannstr. - Platz der Republik 1 am Bundestag(EP) Alt: Pariser Platz - Platz des 18. März - Ebertstr. - Scheidemannstr. - Platz der Republik 1 am Bundestag(EP),60.0,38.0
07.01.2022,15:00,16:00,"""Mahnwache gegen rechtsextremistische Tendenzen in Politik und Gesellschaft""",Alexanderplatz,,10178.0,,15.0,3.0
07.01.2022,15:00,18:00,"""Solidarity with Kazakhstan, stop the violence!""",Pariser Platz,1,10117.0,,80.0,64.0
07.01.2022,17:00,22:00,"""Wir, die FREIEN GEISTER, fahren für unsere Kinder und gegen die Spaltung unserer Gesellschaft. Wir lassen uns nicht spalten. Zusammenhalt und Gleichberechtigung für ALLE ! / Jung und Alt, groß und klein, KEINE G - Regeln, für ALLE. Das ist für unsere Kinder, sie sollen nicht in Ketten leben, ohne Angst und ohne Tränen. Meinungsfreiheit und Diskurs um die Bevölkerung zu einen. Wir informieren die Bevölkerung über Daten und Fakten sowie die Entwicklungen und Auswirkungen der Coronamaßnahmen und decken Hintergründe im Zusammenhang mit dem Infektionsschutzgesetz auf. Ein klares Nein zur Impfpflicht.""",,,,"Alt: Weißenseer Weg 53, Parkplatz Am Sportforum (AK) - Weißenseer Weg - Indira-Gandhi-Str. - Bizetstr. - Rossinistr. - Berliner Allee - Lehderstr. - Roecklstr. - Hosemannstr. - Erich-Weinert-Str. - Greifswalder Str. - Greifswalder Str. / Grellstr. (ZK) - Storkower Str. - Thaerstr. - Eldenaer Str. - Richard-Ermisch-Str. - Zur Rinderauktionshalle - August-Lindemann-Str. - August-Lindemann-Str. / Hermann-Blankenstein- Str. (ZK) - Hermann-Blankenstein-Str. - Thaerstr. - Storkower Str. - Rudolf-Seifert-Str. - Storkower Str. - Franz-Jacob-Str. - Landsberger Allee - Anton-Saefkow-Platz (EK) Neu nach Kooperation: Weißenseer Weg 53, Parkplatz Am Sportforum (AK) - Weißenseer Weg - Indira-Gandhi-Str. - Bizetstr. - Rossinistr. - Berliner Allee - Lehderstr. - Roelckestr. - Hosemannstr. - Ostseestr. - Greifswalder Str. - Greifswalder Str. / Grellstr. (ZK) - Storkower Str. - Thaerstr. - Eldenaer Str. - Richard-Ermisch-Str. - Zur Rinderauktionshalle - August-Lindemann-Str. - August-Lindemann-Str. / Hermann-Blankenstein- Str. (ZK) - Hermann-Blankenstein-Str. - Thaerstr. - Storkower Str. - Rudolf-Seifert-Str. - Storkower Str. - Franz-Jacob-Str. - Landsberger Allee - Anton-Saefkow-Platz (EK)",70.0,75.0
07.01.2022,17:30,19:30,"""Solidarität mit 30 Jahren Mittwochsdemonstrationen in Korea.""",Birkenstr.,,10559.0,,50.0,40.0
08.01.2022,08:00,20:00,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",Werderscher Markt,,10117.0,,30.0,
08.01.2022,11:00,12:00,"""Mahnwache für Toleranz und ein friedliches Miteinander""",Marktstr.,,13597.0,,30.0,15.0
08.01.2022,11:10,00:00,"""WIR FORDERN EIN ESSEN-RETTEN-GESETZ JETZT""",Schwedenstr.,14,13357.0,,7.0,
08.01.2022,12:00,14:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,4.0
08.01.2022,12:45,00:00,"""WIR FORDERN EIN ESSEN-RETTEN-GESETZ JETZT""",Residenzstr.,85,13409.0,,10.0,
08.01.2022,13:00,14:30,"""Solidarität mit Lützerath gegen die Abbaggeung des Dorfs""",Hiroshimastr.,12,10785.0,,50.0,200.0
08.01.2022,13:00,14:30,"""Grausamkeit des Pelzhandels""",Friedrichstr.,76-78,10117.0,,7.0,7.0
08.01.2022,13:00,19:00,"""Auto und Fahrradkorso. Der Autokorso-Berlin, das Original, eine Informationsversanstaltung für alle Menschen. Wir informieren die Bevölkerung über Daten und Fakten, sowie Entwicklungen und Auswirkungen der CORONAMaßnahmen. Wir sprechen die Hintergründe im Zusammenhang mit dem Infektionsschutzgesetz an. Wir protestieren gegen Maskenpflicht, Mindestabstand, Kontaktbeschränkungen, Reiseverbote, Berufsverbote, Ausgangssperren, Lockdowns, Testzwang und verdeckten Impfdruck in jegliche Art. Insbesondere Schutzbedürftige wie Kinder, Behinderte und Alte dürfen nicht beeinflusst werden. Wir stehen auf gegen die Arroganz und Ignoranz der Regierung der BRD. Wir verurteilen jede Gewalt. Wir stehen auf dem Boden der freiheitlich-demokratischen Grundordnung. Wir fordern unverzüglich die bedingungslose Wiederherstellung aller Grundrechte!""",,,,Karl-Marx-Allee (vor dem Kino International) - Karl-Marx-Allee - Alexanderstraße B2 - Karl-Liebknecht-Straße - Unter den Linden - Friedrichstraße – Friedrichstraße auf Höhe Reichstagsufer wenden – Friedrichstraße – Friedrichstraße/Unter den Linden ZK 1 -Friedrichstr. - Behrenstr. – Markgrafenstr.- Mohrenstr. – Charlottenstr. -Taubenstr. – Friedrichstr. - Rudi-Dutschke-Str. - Oranienstr. - Skalitzer Str. - Oppelner Str. - Oberbaumstr. – Oberbaumbrücke – Am Oberbaum - Mühlenstr. - Stralauer Platz - An der Schillingbrücke – Engeldamm - Adalbertstr. - Kottbusser Tor - Kottbusser Str. - Paul-Lincke-Ufer - Hobrechtbrücke - Friedelstr. – Weserstr.- Fuldastr. – Sonnenallee – Sonnenallee/Hermannplatz ZK 2 – Sonnenallee –Reuterstr. – Karl-Marx-Str. – Hasenheide – Südstern - Gneisenaustr. - Yorckstr. – Goebenstr. - Kulmer Str. - Bülowstr. - Kleiststr. – Wittenbergplatz - Tauentzienstr. – Kurfürstendamm – Kurfürstendamm in Höhe Uhlandstr. wenden – Kurfürstendamm – Tauentzienstr. – Wittenbergplatz EP,100.0,200.0
08.01.2022,14:00,14:30,"""20 Jahre Guantanamo - Schließung des Haftlagers!""",Ebertstr.,,10117.0,,30.0,32.0
08.01.2022,14:00,17:00,"""Gedenkkundgebung für Karl Liebknecht und Rosa Luxemburg""",Alexanderplatz,,10178.0,,30.0,30.0
08.01.2022,14:00,17:00,"""Kampf gegen die Unterdrückung der Pressefreiheit in Hongkong!""",Alexanderplatz,2,10178.0,,30.0,30.0
08.01.2022,14:00,17:30,"""Video-Aktion zur Aufklärung über die Tierindustrie""",Alexanderplatz,,10178.0,,24.0,30.0
08.01.2022,14:00,18:00,"""Demonstration anlässlich des Jahrestages der Ermordung der drei kurdischen Politikerinnen Sakine Cansiz, Fidan Dogan und Leyla Saylemez am 9. Januar 2013 in Paris""",,,,Rathausstr. 15 (Vorplatz vor dem Roten Rathaus )- Spandauer Str. - Karl-Liebknecht-Str. - Schloßplatz - Unter den Linden - Pariser Platz (EP),200.0,180.0
08.01.2022,14:00,19:00,"""Wir sind alle Studenten, die in Deutschland studieren. wir kommen alle aus Kasachstan. Ab 03.01 finden in unserer Heimat Kundgebungen statt. Und das gemeine Volk stirbt. Wir wollen unser kasachisches Volk unterstützen.""",Platz des 18. März,,10117.0,,50.0,65.0
08.01.2022,14:30,18:00,"""Maske auf - Nazis raus""",Hermannplatz,,10967.0,,100.0,120.0
08.01.2022,15:00,16:00,"""Freiheit für Ali Osman Köse""",Oranienplatz,,10999.0,,20.0,20.0
08.01.2022,15:00,17:00,"""Heimat und Weltfrieden"" (vom 08.01. bis 31.12.2022 - jeweils Sa.)",Platz der Republik,1,10557.0,,20.0,11.0
08.01.2022,15:15,00:00,"""WIR FORDERN EIN ESSEN-RETTEN-GESETZ JETZT""",Residenzstr.,85,13409.0,,10.0,
08.01.2022,15:15,16:30,"""Karow impft! Gemeinsam gegen Corona""",Bahnhofstr.,,13125.0,,20.0,10.0
08.01.2022,15:30,17:00,"""Kundgebung für den Frieden. ""Hände weg von Russland und China""""",Greifswalder Str.,,10405.0,,100.0,40.0
09.01.2022,08:00,20:00,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",Werderscher Markt,,10117.0,,30.0,
09.01.2022,09:00,13:00,"""Jährliche Gedenkveranstaltung an die Ermordung von Rosa Luxemburg und Karl Liebknecht""",Gudrunstraße,20,10315.0,,3000.0,
09.01.2022,10:00,12:00,"""Luxemburg-Liebknecht-Ehrung 2022""",,,,Frankfurter Tor - Frankfurter Allee - Gudrunstr. (bis zur Gedenkstätte der Sozialisten),3000.0,
09.01.2022,10:00,13:00,"""Mahnwache anlässlich des 103. Jahrestages der Ermordung von Rosa Luxemburg und Karl Liebknecht""",Rüdigerstr.,64,10365.0,,30.0,
09.01.2022,10:30,14:00,"""Liebknecht-Luxemburg-Gedenken""",Rüdigerstr.,64,10365.0,,300.0,
09.01.2022,11:00,13:30,"""Anlässlich des Jahrestages des Todes Rosa Luxemburgs und Karl Liebknechts möchte die Sozialistische Jugend Deutschlands - Die Falken eine Gedenkkundgebung abhalten.""",,,,Großer Weg/Str. des 17. Juni - Großer Weg - Lichtensteinallee - Lichtensteinbrücke,100.0,80.0
09.01.2022,12:00,14:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,3.0
09.01.2022,14:00,17:00,"""Unterstützung der friedlichen, algerischen Revolution"" (vom 09.01. bis 10.07.2022 - jeweils So.)",Pariser Platz,,10117.0,,10.0,4.0
09.01.2022,15:00,15:30,"""Gedenken für Rosa Luxemburg""",Lichtensteinbrücke,,10787.0,,30.0,15.0
09.01.2022,18:00,00:00,"""Treffpunkt Bölschestr. , am Markt"" ( nicht angezeigter coronakritscher Aufzug)",Bölschestr.,113,12587.0,,30.0,
09.01.2022,18:20,18:55,"""Treffpunkt Bölschestr. , am Markt"" ( nicht angezeigter coronakritscher Aufzug)",Bölschestr.,113,12587.0,,30.0,
10.01.2022,08:00,20:00,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",Werderscher Markt,,10117.0,,30.0,
10.01.2022,10:30,13:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,2.0
10.01.2022,11:00,15:00,"""Gegen Drohen Attack, Massen Verhaftung und Humanitäre Blockade in Tigray durch Äthiopien! Deutschland sollagieren und nicht die Regierung helfen!""",Platz des 18. März,,10117.0,Neu: (AP) Platz des 18. März – Str. des 17. Juni – Yitzhak-Rabin-Str. – Heinrich-v.-Gagern-Straße – Paul-Löbe-Allee – Forum Kanzleramt (EP) Alt: Pariser Platz (AP) - Wegstrecke offen - Willy-Brandt-Str. 1 (EP),500.0,
10.01.2022,17:00,18:30,"""Mahnwache für Frieden und Menschenrechte"" (vom 03.01. bis 28.03.2022 - jeweils Mo.)",Pariser Platz,,10117.0,,10.0,4.0
10.01.2022,17:00,19:00,"""Demokratie heißt Solidarität statt Egoismus""",Alt-Köpenick,21,12555.0,,50.0,70.0
10.01.2022,17:00,20:15,"""Einigkeit und Recht und Freiheit""",,,,NEU: Moritzstr./Carl-Schurz-Str. (AP) – Carl-Schurz-Str. – Am Juliusturm – Havelstr. – Breite Str. – Marktplatz – Carl-Schurz-Str. – Charlottenstr. – Breite Str. – Marktplatz – Carl-Schurzstr. – Carl-Schurz-Brücke – Augustaufer – Moritzstr. – Moritzstr./Carl-Schurz-Str. (EP) ALT: Moritzstr. 1 (AK) - Carl-Schurz-Str. - Am Juliusturm - Havelstr. - Breite Str. - Marktplatz - Carl-Schurz-Str. - Charlottenstr. - Breite Str. - Marktplatz - Carl-Schurzstr. - bis Höhe Rathaus Spandau - Jüdenstr. - Viktoria-Ufer - Moritzstr. (EK) (Runde soll 1-2 mal wiederholt werden),140.0,180.0
10.01.2022,17:00,21:00,"""Freiheit ist manchmal auch Einsicht in die Notwendigkeit, deshalb solidarisch durch die Krise. Für die kritische Vernunft und die Demokratie, mit Abstand gegen Rechts, Antisemiten und Verschwörungsprediger! Kurzfassung: Nu is jleich zappendusta!"" (vom 10.01. bis 28.03.2022 - jeweils Mo.)",Breite Str.,24,13187.0,,200.0,40.0
10.01.2022,17:15,22:00,"""Spazierstop - Kein Schlafwandeln durch unseren Kiez""",Karl-Marx-Str.,183,12043.0,,30.0,60.0
10.01.2022,17:30,20:00,"""Kundgebung gegen rechtsoffene und verschwörungsideologische Spaziergänge""",Hermannplatz,,10967.0,,20.0,10.0
10.01.2022,17:30,22:00,"""Nein zu Verschwörungsdenken und ""Spaziergängen"" mit Nazis!""",,,,Alice-Salomon-Platz 3 vor dem Rathaus Marzahn-Hellersdorf (AP) - Stendaler Str. - Janusz-Korczak-Str. - Fritz-Lang-Str. - Fritz-Lang-Platz (ZK) - Fritz-Lang-Str. - Hellersdorfer Str. - Alice-Salomon-Platz vor der Alice-Salomon-Hochschule (ZK) - Peter-Weiss-Gasse - Kokoschkastr. - Janusz-Korczak-Str. Stendaler Str. - Hellersdorfer Str. - Hellersdorfer Str./ Neue Grottkauer Str. am U- Bhf. Kienberg (EP),100.0,70.0
10.01.2022,17:30,22:00,"""Geradedenken gegen Querdenken und Rechts""",Alexanderplatz,1,10178.0,,50.0,30.0
