Datum,Von,Bis,Thema,Strasse,Nr,PLZ,Aufzugsstrecke,Teilnehmende (angemeldet),Teilnehmende (tatsächlich)
2023-01-05,0 days 00:00:00,0 days 23:59:00,"""Revolutionsgarden des Islamischen Regime auf die Terrorliste der EU einsetzen"" (vom 23.12.2022 bis 20.01.2023 - täglich)",Platz der Republik,1,10557.0,,4.0,
2023-01-05,0 days 00:00:00,1 days 00:00:00,"""Zuschließung der Iranischen Botschaft"" sic! (vom 17.11.2022 bis 15.01.2023 - täglich)",Podbielskiallee,67,14195.0,,2.0,
2023-01-05,0 days 08:30:00,0 days 09:30:00,"""Aufklärung rechter Straftaten"" (vom 05.01. bis 28.12.2023 - jeweils Do.)",Tempelhofer Damm,12,12101.0,,15.0,3.0
2023-01-05,0 days 10:30:00,0 days 13:00:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN-GONG Praktizierenden und anderen unschuldigen Menschen in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2023 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,5.0
2023-01-05,0 days 12:00:00,0 days 18:00:00,"""Wir sind für die Freiheit von Julian Assange, der seit über drei Jahren ohne Urteil im Hochsicherheitsgefängnis Belmarsh sitzt und gegen seine Auslieferung an die USA wegen journalistischer Tätigkeiten.""",Pariser Platz,,10117.0,,8.0,6.0
2023-01-05,0 days 14:00:00,0 days 15:00:00,"""Für die Menschenrechte in Nordkorea. für Religionsfreiheit und gegen Christenverfolgung; für Reis statt Atom und gegen Bomben und Raketen; für die Auflösung der Konzentrationslager; für Reise- , Meinungsfreiheit, für Menschenrechte"" (vom 20.10.2022 bis 19.01.2023 - jeweils Do.)",Glinkastr.,5,10117.0,,12.0,4.0
2023-01-05,0 days 16:00:00,0 days 18:30:00,"""Friedliche und freundliche Unterstützung des Nachbarschaftsdialogs. Entgegenwirken von Spaltung und Diskriminierung jeder Art, durch Förderung von friedlicher Kommunikation miteinander, Gleichberechtigung und fundiertem Verständnis für alle Mitmenschen."" (vom 05.01. bis 28.12.2023 - jeweils Do.)",Wilmersdorfer Str.,,10585.0,Goethestr./Wilmersdorfer Str.,19.0,
2023-01-05,0 days 16:30:00,0 days 18:00:00,"""Menschen mit Schildern"" (vom 05.01. bis 28.12.2023 - jeweils Do.)",Tempelhofer Damm,100,12101.0,,30.0,90.0
2023-01-05,0 days 16:30:00,0 days 18:30:00,"""Im Gedenken an Celalettin Kesim: Nichts und niemand ist vergessen""",Reichenberger Str.,,10999.0,,50.0,
2023-01-05,0 days 17:00:00,0 days 18:00:00,"""Menschen mit Schildern"" (vom 06.01. bis 30.12.2022 - jeweils Do.) (vom 05.01. bis 28.12.2023 - jeweils Do.)",Paradestr.,,12101.0,,30.0,30.0
